attacker,bot_type,categories,sandwich_count,usd_profit_net,usd_avg_profit,sol_profit_net,fee_sol_total,win_rate,sol_win_rate,mean_slippage_consumption,slippage_coverage,front_gap_median,front_gap_eq1_ratio,in_block_count,cross_block_count,cross_leader_count,multi_split_count,jito_bundle_count,first_slot,last_slot,expert_verdict,n_signing_keys
HwGqFnPY6H2sGFoDUMYqr63geoR6Tb8yrfnKGLMnARzj,Signal Bot,standard,522,3132.156462110793,6.000299735844432,39.151955776384916,0.054810000000000005,1.0,1.0,0.9838570406410858,0.8908045977011494,1.0,0.9885057471264368,512,10,0,0,0,408686767,421332237,yes,1
huyYVZMhMkqeRKQFxdq8dwinWgTNofb5W5kAN82fhQF,Signal Bot,standard,391,3109.3989511137775,7.952426984945722,38.867486888922215,0.233405557,0.8913738019169329,0.8913738019169329,0.9292295815490161,0.9232736572890026,30.0,0.061381074168797956,32,359,203,0,0,416932654,417859171,yes,1
A25FNSdyFHpeuFVFyrkjCVJf162NxBXdY5AgtnCArQTZ,Signal Bot,standard,497,2954.5371581302315,5.94474277289785,36.63244781512771,0.47146053,0.9444444444444444,0.9457700650759219,0.9647061396086041,0.8752515090543259,67.0,0.014084507042253521,32,465,295,0,0,408674006,428033083,yes,1
9ypemT1oNeUsoT5ozTGh498DPx8yCgbbFVqRw5y2KAVt,Signal Bot,standard,1283,2723.025605964741,2.122389404493173,34.019315546526116,0.016935600000000002,0.9723247232472325,0.9722735674676525,0.9480950514147717,0.9353078721745908,50.0,0.037412314886983634,0,1283,903,0,0,408673448,411193959,yes,1
torgrQE5v8CCwSCqwdeifKNBL3t7TqPcXwuW6vCiJ4B,Signal Bot,standard,446,2642.4100686802144,5.924686252646221,32.96626847100267,0.85036,0.9841269841269841,0.9840909090909091,0.9686332426017591,0.8856502242152466,17.0,0.08071748878923767,62,384,246,0,0,408832569,420790938,yes,1
CAmNcBJ82xr1tzXrwZ6tZKwEFs26TG8kT6dJeR1bxjW9,Signal Bot,standard,105,2614.6581783200013,24.90150646019049,32.395572174000016,0.113433344,0.9230769230769231,0.9223300970873787,0.9624927548816329,0.8857142857142857,22.0,0.0761904761904762,0,105,86,0,0,409763381,423925616,yes,1
CFfwnDuLKvvXg1oDwGr4x3TkUy2VDaBAN9n5EcfbQUBU,Signal Bot,standard,457,2527.997525360006,5.531723250240713,31.599969067000075,0.40219,0.9971671388101983,0.9971671388101983,0.9310695724623979,0.9474835886214442,74.0,0.07221006564551423,0,457,358,0,0,412872600,415928540,yes,1
4EsYuWFZAt1PfNJq8Jr7monip43gNqrQ7k2Kne1npqJx,Signal Bot,standard,105,2514.1546724399986,23.944330213714274,31.371631712999985,0.117240469,0.9615384615384616,0.9611650485436893,0.968128963975872,0.8952380952380953,42.0,0.10476190476190476,0,105,86,0,0,409763381,423925616,yes,1
FRPJJg4RHyUjgvtSRvWhKfMvtB2AfrXxqMTeJoh6cvWD,Signal Bot,standard,136,2365.6950127200075,17.394816270000057,28.308002134000105,0.589863669,0.9411764705882353,0.9398496240601504,0.913899516630203,0.6838235294117647,17.5,0.125,71,65,25,0,0,408924660,428093028,yes,1
D7nLz34AHgPmMfaWThYruWF4eiiKjWfxNfpxUeA5Lq6V,Signal Bot,standard,901,2327.3278812799717,2.583049812741367,29.091598515999646,0.011893200000000001,0.8914285714285715,0.8914285714285715,0.9519353722071036,0.9589345172031076,57.0,0.05327413984461709,0,901,645,0,0,416905896,428107467,yes,1
41pb1irvQZJQKmTf8mQzKQcM5PzroywZc7d3azPGphxQ,Signal Bot,standard,159,2264.0118617620433,14.239068312968826,28.30014827202554,0.05133,1.0,1.0,0.9569386344653856,0.8113207547169812,61.0,0.050314465408805034,19,140,68,0,0,418617631,423681668,yes,1
Phhrg6oXPVmShUJdz2tnsidrAgwpHpYKauuGKbPVjEV,Signal Bot,standard,210,2231.1848421600002,10.62468972457143,27.889810527,4.427358737,0.861904761904762,0.861904761904762,0.9359699357359,0.861904761904762,18.0,0.047619047619047616,0,210,154,0,0,409076917,427995892,yes,1
FFxB18bP5bwFPLaQg7PVnamBcecjXybj1i35JqxSAUBv,Signal Bot,standard,1049,2208.853433172488,2.105675341441838,27.6106679146561,0.325028,0.975,0.975,0.951351003977427,0.882745471877979,61.0,0.06196377502383222,6,1043,758,0,0,414716437,423858345,yes,1
