front_signer,epoch,n,victims,usd,fee_sol,usd_net
749sM7RKyXxwmUmmRsunhmnfjth9W25tNsKjCPVvh9NW,985,1,1,15.570412239999989,0.000157,15.557852239999988
775RyG3g2pm7Sh9SNUZv1MvPvmgiBMW1HhLN2ChmAFz1,971,1,1,11.536514639999993,0.000157,11.523954639999992
77FHZzdTAVv8azV8FuFXfhMoDhWNALiqM1UAPWzMtoSs,962,1,1,13.520053600000317,0.000157,13.507493600000316
78DMWyEDrf48sqyCzc9V2WqZ4Dh6nMw49GPRWzcYkiMA,982,1,1,10.833792640000013,0.000157,10.821232640000012
7AywLifcb3jTBnRJ3tckT5QjWZxdXwcU6pvwW6vQQwSo,980,1,1,12.33173088000001,0.000157,12.319170880000009
7N7jo2CCFYdB6xhkV4oHF6Q14Uk95i2wng1fWYyTU9NM,961,1,1,1065.9580730387722,1e-05,1065.9572730387722
7T9WhrYkT2C4KRkFgwkU9Jg31j6UXnBGydmzC5ZBEkxR,987,1,1,14.33002664000032,0.000157,14.317466640000319
7U8aUxpenvXNmwznW6Vm22m5CLDNuSanXVChcXn3QxXr,978,1,1,10.890701679999992,0.000157,10.878141679999992
7afgdN5aA4nb1aSGxoWUMuKfhrTAPsuty7u5Y3DxzzaG,977,1,1,13.488310319999677,0.000157,13.475750319999676
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,959,1,1,19.558853759999977,0.000157,19.546293759999976
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,961,1,1,14.852246640000004,0.000157,14.839686640000004
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,962,1,1,15.858253520000005,0.000157,15.845693520000005
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,966,1,1,19.291659279999678,0.000157,19.279099279999677
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,969,1,1,16.468109039999703,0.000157,16.455549039999703
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,972,1,1,20.05106744000031,0.000157,20.03850744000031
5VDRG9kJMyqGbo1VV9wfTt33dwnXo8yAxwC19cgtBcHc,968,1,1,11.359002240000002,0.000157,11.346442240000002
5dhGFXe2mDhH3zWabibUcAW4bH4VVv79fZ8iTd7z53EH,987,1,1,14.363989920000009,0.000157,14.351429920000008
5eVvSRbF21sPujtQNHZ2d2SRdEQ1GdPvk85PTDDgw65n,986,1,1,19.373151919999998,0.000157,19.360591919999997
5ggtR4hYfuFEW2C9f1QApopotdw4Bq751DRN7wsVL9fm,975,1,1,13.420350319999699,0.000157,13.407790319999698
5yqkvGMSquviLnh6CkQYByyKHhmj3Hvd8nVTrf8vUjw6,974,1,1,26.334518252107586,1e-05,26.333718252107584
621NCzExtJisxj4E1TUymhyNnqq5ZDj8d1f12d9MG19Q,956,1,1,10.47587231999966,0.000157,10.463312319999659
65vQSgVcpaS7ac3AqD5KMTZmUkE8Gn4pkfaTziptQHTT,970,1,1,11.83772143999974,0.000157,11.82516143999974
6976RnQkRKZKVUFBhV1gmb1g33nyBtV6FQQADjDocZ5D,973,1,1,10.218257120000018,0.000157,10.205697120000018
6BAokrw3inTwotyYNX9CR4M8rJhXEFExiHQH2PMTGNw9,961,1,1,1149.946859685902,1e-05,1149.946059685902
6CSKe5C6YiXYgVM4krrh3AAx1s2sLnvDiFsXq7hPgkn7,964,1,1,12.64283343999999,0.000157,12.63027343999999
6QsDZ11ERokJzQW8VZ6pLxkLwqPQXVjFWq2LcSuEZHDQ,963,1,1,12.171794079999678,0.000157,12.159234079999678
6QsDZ11ERokJzQW8VZ6pLxkLwqPQXVjFWq2LcSuEZHDQ,971,1,1,10.238637679999663,0.000157,10.226077679999662
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,978,1,1,16.484993760000002,0.000157,16.47243376
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,980,1,1,11.582894240000314,0.000157,11.570334240000314
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,981,1,1,10.310395360000442,0.000157,10.297835360000441
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,984,1,1,12.152889840000007,0.000157,12.140329840000007
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,985,1,1,13.133963520000016,0.000157,13.121403520000015
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,987,1,1,12.486523600000474,0.000157,12.473963600000474
7hVPruhEgtoZ8FsqVK8VPWMciiPRT5CH9ZMrpFYwbhUD,978,1,1,14.171527680000011,0.000157,14.15896768000001
7oupXmMVXEzWxU1kpvEgRutVxFY6BG1vJKrviPy9WneY,981,1,1,14.480112159999976,0.000157,14.467552159999975
7wLgN255zS6wm96bjqQ64MspLNTC3hDAFum9p8tqgmXz,972,1,1,13.089107759999692,0.000157,13.076547759999691
7wLgN255zS6wm96bjqQ64MspLNTC3hDAFum9p8tqgmXz,975,1,1,9.900601600000023,0.000157,9.888041600000022
7wLgN255zS6wm96bjqQ64MspLNTC3hDAFum9p8tqgmXz,988,1,1,15.992946560000334,0.000157,15.980386560000333
7x59aFXj16fWN4fLQDWK36a1m8jKbWKwgkpZDMdRgviR,970,1,1,11.93629247999965,0.000157,11.92373247999965
857qPKGFj56tZGKFCpmdEgHzG8DD9Fkep4oD4iBNGUJe,984,1,1,13.390393279999984,0.000157,13.377833279999983
86QgHTnhAL4KaP34xwSgwuyfYYXKeXBJZofzbZUWPgdV,979,1,1,14.090905120000023,0.000157,14.078345120000023
8NTVPv8tVPWX7FFHhMzaVs56Zu7bgmQmtquEabsccUo,957,1,1,12.531625760000011,0.000157,12.51906576000001
8PMXGe58Mhwvsma4zspUZvCNGF6Hwv5V6wmHJfeVQhut,980,1,1,8.62011127999967,0.000157,8.607551279999669
8mYs93qyopy9XejEGsFc6h1fMxw4ZP27vwVTpZjsQXLH,967,1,1,12.706046319999693,0.000157,12.693486319999693
8wfscVWJhHQT4HKPRLAZt4DYXN6xepzSM8gU3g89DxdT,980,1,1,10.359544879999696,0.000157,10.346984879999695
8yDD8zuCSR8AjNB2XjcJJ1KVoSP5Q3Z8KVhyb68YEV6q,971,1,1,9.896893039999988,0.000157,9.884333039999987
8yMX7HjwUUxryhapcMn8X8A86889WLwN6NvFFGAxcY5U,979,1,1,11.029325520000022,0.000157,11.016765520000021
8yMX7HjwUUxryhapcMn8X8A86889WLwN6NvFFGAxcY5U,987,1,1,17.85046303999998,0.000157,17.83790303999998
9BbAw2p2JLXqxWUkuSTptoQ2xjScsE32x1cTLwtshwEM,958,1,1,13.42067496000002,0.000157,13.40811496000002
9Dqvr9pohk9g4yZP8sTv7bmsSAioeHVHVBwhN8GoCeTk,969,1,1,14.185436320000342,0.000157,14.172876320000341
9Jf5yLA6mTNV9mv9yDVW1NUtGc5k787Wsdg9tDhF4viJ,973,1,1,11.896601520000019,0.000157,11.884041520000018
9KnUDajFbtJDefeE2dXD4VkWetwjM2RySco4P8DeiJks,976,1,1,1.539751819403108,1e-05,1.538951819403108
9KtBsEm5TajsMu8CbzTvkz39DHssoPt8nZjPuMZkdJpc,968,1,1,12.988430079999986,0.000157,12.975870079999986
9ca5mFU8tp5qpPkwWFs5c5hJkT6fsmsLubcwctZZdjCA,975,1,1,3.0238939200000026,1e-05,3.0230939200000027
9gvG4vffgKtPUWFmwSWFcaGunsekG4p55HYRThdrQWoQ,978,1,1,14.606507679999972,0.000157,14.593947679999971
9jrQg4QPMDf1VyPB4bYLxiCSmfoMx4Z56as9uHoiN9RX,977,1,1,12.570675039999983,0.000157,12.558115039999983
9of6Us4BoJi6kucN3ZLrWh19PyFymLXUwBNiPZY9CnS6,985,1,1,14.153536079999967,0.000157,14.140976079999966
9pyhsmL1373sMAK4U1m1suhhBgKmck4Hsb3GCGERqCYL,973,1,1,9.708587360000003,0.000157,9.696027360000002
AGDkuz8GLVkgu7RoEXBtB8X9ufB9aGWARDgZ6Vyu2QkD,976,1,1,0.0,1e-05,0.0
ALECrfcJyfd4D8kxyWGghSxBqU35cEaviwYC86EDuSiv,972,1,1,11.141280399999971,0.000157,11.12872039999997
ALnRFbycqm983WBNVrDcnMMEp3XjYdF6shDR6869UoHi,972,1,1,13.652388320000028,0.000157,13.639828320000028
ANqgWtWjXMrEN4EKL1vsbTXDp2d4diew3iA5h6X41jAs,972,1,1,13.371429759999991,0.000157,13.35886975999999
AaxW7xncXupA1Rv1FE86WJD2qMZkukYkNTuiSWSrzRAk,961,1,1,3.994712352149979,1e-05,3.9939123521499793
AbKuEjqyhe9ThQHtiMcbM92nsn9mQEBAEpCsNG19PUYp,961,1,1,1116.8032581570376,1e-05,1116.8024581570376
Ad33hhEgBCdDBW4PtrHXkkwonYmLrS67Re19ojUq8Xrg,970,1,1,11.342523039999719,0.000157,11.329963039999718
AmA3bPwkdjgVmeLcbxa8jXdBp9ZKF2ghg3DpDsGgRhzr,959,1,1,11.66407264,0.000157,11.65151264
