front_signer,epoch,n,victims,usd
EUH8CQBZTmmU7ob6rpnboDcPdJjLZmh6e6EdCSfewuBf,957,1,2,-0.029286964051508102
EVKHzA6XFeWJCU6B2DrtBfM6KqGXi1YfDjov3Yteb97k,958,1,1,-0.003663934155205828
E9atYcKun4i5b7RhiJAPiJgswSgyKAQHdEFq2qpfLZvM,960,1,2,-0.011809181803486002
BMoiKckKRjCBdJBvMAftRc6wYNStZ6DWShpcCKxxYog2,960,1,1,-0.061564697334712815
BRaFruJzQHbCBYD3n3z6iLqtswcHQdRPEH58v4JTvB2T,957,1,1,-0.01560607611241327
BSMSHALMpckXDVHSobyHEyzMKe42kScW2XtvAYEMR5Tv,947,1,1,-0.005048374091734531
BSrjnMAxQLBSwyfzxhLHu2tfYe6pRA9wUPkfMvreb9Cb,950,1,2,-0.19032645151368044
BTBccnoDBg4Bq7EMmFKZr3WMbkfmf3AocP2PvYjEiH2R,958,1,1,-0.14383087664919358
BU266zbtRLazt3L88ZhcyHYQjtV3UJarSLX2DJmo5gx6,955,1,1,-0.11710775307076648
BV8ZUFPrs7KoZyPvjET3cPJtrPLFYBxRR6eichhSJS49,959,1,2,-0.032108555319545484
BVtpkiNamTkWhu9jwtjHzUWWRDuNMuaSELXit2w3x3Fy,947,1,1,-0.007318413411624702
BWFtNdMYi4HtGLqZLWy1apvCSF5M3C9PdLUnVxiaKJDQ,948,1,2,-0.018554369437054907
BWbimb7yAmCgsg7TVoLt5Y2PKQ7aFRLkk5iRCmVmhTbP,951,1,2,-0.045783960036387406
BZc34WG5H8qPwvhkUTo51YZ9xYSXTmkHR8RxK5VQv5xy,957,1,2,-0.0032737494154722047
Cqy5kPYMRubBAHR5HRLFiSyWnwF4gFLa8JQmu3WPSJio,958,1,1,-0.11572218689781977
Bgj7imgewxkAeQrSh73Fxw6zkDN4reiEqMA2ujWBXLMh,957,1,2,0.037711442169495735
Bhyn2TCJ6dmamtLkGJcQfmYph65TbRT7rspP6fMe38He,948,1,2,-0.12654922247936184
BmfhUobuskuEQfFjA97nEsBoz2o8RFuJoEc9SbxHXiZr,960,1,1,-0.04046125603648698
BnGz89K81Wecvf4RoFDNFWuYX8HRyxVkGQRrr7kQeqDZ,957,1,1,-0.19686443031855738
BnxZtJ8Z13oyojcqBYg4TDGxpDmDdk4HWJRQJnqtWfCL,957,1,1,-0.05781407865316224
BoA9AA2tTirGsjymfJqcJmPzsRJbHkacvA7gDnGNtYpR,955,1,1,0.011906239999999735
